[RANK 0] 2025-04-20 20:24:08,177 - INFO - [Epoch 1 | Step 31] Loss: 1.7066 | Total samples 1984 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:12,885 - INFO - [Epoch 1 | Step 32] Loss: 1.6540 | Total samples 2048 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:17,595 - INFO - [Epoch 1 | Step 33] Loss: 2.0390 | Total samples 2112 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:22,305 - INFO - [Epoch 1 | Step 34] Loss: 1.8643 | Total samples 2176 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:26,981 - INFO - [Epoch 1 | Step 35] Loss: 1.2941 | Total samples 2240 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:31,655 - INFO - [Epoch 1 | Step 36] Loss: 1.6122 | Total samples 2304 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:36,335 - INFO - [Epoch 1 | Step 37] Loss: 1.5154 | Total samples 2368 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:41,017 - INFO - [Epoch 1 | Step 38] Loss: 1.5911 | Total samples 2432 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:45,775 - INFO - [Epoch 1 | Step 39] Loss: 1.3050 | Total samples 2496 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:50,506 - INFO - [Epoch 1 | Step 40] Loss: 1.3846 | Total samples 2560 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:55,219 - INFO - [Epoch 1 | Step 41] Loss: 1.7298 | Total samples 2624 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:24:59,905 - INFO - [Epoch 1 | Step 42] Loss: 1.4695 | Total samples 2688 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:04,648 - INFO - [Epoch 1 | Step 43] Loss: 1.2658 | Total samples 2752 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:09,357 - INFO - [Epoch 1 | Step 44] Loss: 1.4257 | Total samples 2816 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:14,049 - INFO - [Epoch 1 | Step 45] Loss: 1.8802 | Total samples 2880 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:18,755 - INFO - [Epoch 1 | Step 46] Loss: 1.6456 | Total samples 2944 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:23,455 - INFO - [Epoch 1 | Step 47] Loss: 1.3201 | Total samples 3008 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:28,130 - INFO - [Epoch 1 | Step 48] Loss: 1.5304 | Total samples 3072 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:32,804 - INFO - [Epoch 1 | Step 49] Loss: 1.1001 | Total samples 3136 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:37,477 - INFO - [Epoch 1 | Step 50] Loss: 1.1945 | Total samples 3200 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:42,864 - INFO - [Epoch 1 | Step 51] Loss: 1.1840 | Total samples 3264 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:47,539 - INFO - [Epoch 1 | Step 52] Loss: 1.3660 | Total samples 3328 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:52,216 - INFO - [Epoch 1 | Step 53] Loss: 1.1265 | Total samples 3392 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:25:56,891 - INFO - [Epoch 1 | Step 54] Loss: 1.1863 | Total samples 3456 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:01,567 - INFO - [Epoch 1 | Step 55] Loss: 1.3309 | Total samples 3520 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:06,249 - INFO - [Epoch 1 | Step 56] Loss: 1.1129 | Total samples 3584 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
